country,country_code,year,Birth_rate,Educ_Tert,Pop_Growth,Population,GDP,Drug_Alc,Depression,logpop
Armenia,ARM,2005,14.244,39.54677,-0.650321107,2981000,1643.753029,2.298558214,2.692555,6.474361976
Armenia,ARM,2006,14.572,43.11535,-0.773190355,2958000,2158.143697,2.317373187,2.698772,6.47099817
Armenia,ARM,2007,14.855,45.93094,-0.872160581,2933000,3139.277499,2.336994044,2.703805,6.467312063
Armenia,ARM,2008,15.08,48.48933,-0.856135016,2908000,4010.857243,2.35667831,2.707865,6.463594402
Armenia,ARM,2009,15.233,51.33459,-0.67381128,2888000,2994.342544,2.368014374,2.71182,6.460597189
Armenia,ARM,2010,15.304,52.98915,-0.373711867,2877000,3218.372707,2.374401891,2.714179,6.458939862
Armenia,ARM,2011,15.297,53.33778,-0.027147008,2877000,3525.804747,2.379914784,2.718093,6.458939862
Armenia,ARM,2012,15.232,46.15803,0.267013214,2884000,3681.857456,2.375758445,2.72184,6.459995256
Armenia,ARM,2013,15.125,45.73739,0.461966644,2898000,3838.185801,2.365502574,2.726631,6.462098381
Armenia,ARM,2014,14.979,47.08219,0.51012273,2912000,3986.231624,2.356576946,2.734193,6.464191371
Armenia,ARM,2015,14.795,46.5218,0.450500903,2926000,3607.296697,2.356430688,2.740289,6.466274322
Armenia,ARM,2016,14.568,51.08019,0.361431439,2936000,3591.829276,2.365449116,2.747315,6.467756051
Bangladesh,BGD,2005,24.053,6.4467,1.484744774,139036000,499.4619402,1.913115345,4.229019,8.143127265
Bangladesh,BGD,2006,23.384,7.3612,1.347130256,140920992,509.6401429,1.920102984,4.227853,8.148975692
Bangladesh,BGD,2007,22.747,7.93297,1.226617775,142660000,558.0518603,1.925383715,4.226988,8.15430222
Bangladesh,BGD,2008,22.153,8.88409,1.145653022,144304000,634.9870565,1.932357375,4.224998,8.15927837
Bangladesh,BGD,2009,21.605,10.85809,1.116805726,145924992,702.26441,1.939798578,4.223743,8.164129678
Bangladesh,BGD,2010,21.107,12.27483,1.124803493,147575008,781.1535936,1.945094885,4.22464,8.169012815
Bangladesh,BGD,2011,20.657,13.69156,1.144262127,149272992,861.7584443,1.959796836,4.221367,8.173981238
Bangladesh,BGD,2012,20.245,13.801,1.15494813,151006000,883.1050005,1.972047768,4.213672,8.178994204
Bangladesh,BGD,2013,19.862,13.83304,1.156713453,152760992,981.8398792,1.986320365,4.199103,8.18401247
Bangladesh,BGD,2014,19.501,13.86508,1.142594657,154516992,1118.853663,2.00240545,4.182413,8.188976245
Bangladesh,BGD,2015,19.156,15.86972,1.117283565,156256000,1248.453398,2.016275689,4.160873,8.193836703
Bangladesh,BGD,2016,18.824,17.87436,1.091300482,157976992,1401.620628,2.031842132,4.136923,8.19859384
Brasil,BRA,2005,17.243,25.98963,1.145880998,186127008,4790.437088,3.591807926,4.090664,8.269809396
Brasil,BRA,2006,16.747,28.38816,1.090196854,188167008,5886.463588,3.594250555,4.027395,8.274543479
Brasil,BRA,2007,16.306,30.78669,1.037862037,190130000,7348.030794,3.598107803,3.895578,8.279050648
Brasil,BRA,2008,15.921,35.5621,0.994311624,192030000,8831.023117,3.603116069,3.73573,8.283369082
Brasil,BRA,2009,15.595,37.0384,0.961948263,193887008,8597.915352,3.609780308,3.588454,8.287548709
Brasil,BRA,2010,15.327,40.24912,0.937956738,195714000,11286.24302,3.619982103,3.497159,8.291621893
Brasil,BRA,2011,15.11,43.45983,0.915962656,197515008,13245.6125,3.636042343,3.449547,8.295600101
Brasil,BRA,2012,14.93,44.96641,0.893531058,199287008,12370.0242,3.652532309,3.408068,8.299478987
Brasil,BRA,2013,14.772,46.81655,0.873603191,201036000,12300.32258,3.670119716,3.371926,8.303273835
Brasil,BRA,2014,14.624,49.91353,0.855792023,202764000,12112.5903,3.689669496,3.342011,8.30699085
Brasil,BRA,2015,14.472,51.05413,0.838848283,204472000,8814.000987,3.709754325,3.319423,8.310633845
Brasil,BRA,2016,14.307,50.48851,0.823748232,206163008,8712.887044,3.730609555,3.304643,8.314210742
Portugal,PRT,2005,10.4,55.43176,0.185532267,10508000,18773.12536,1.995625998,4.808875,7.021520064
Portugal,PRT,2006,10,55.39792,0.180332441,10543000,19822.84603,1.974276255,4.80553,7.022964207
Portugal,PRT,2007,9.7,57.79474,0.196304384,10573000,22782.09462,1.95342598,4.803936,7.024198232
Portugal,PRT,2008,9.9,61.6109,0.14419128,10595000,24847.54514,1.931700523,4.795229,7.025100961
Portugal,PRT,2009,9.4,62.64161,0.095330859,10604000,23059.79745,1.911146918,4.786921,7.025469719
Portugal,PRT,2010,9.6,65.60205,0.045910037,10596000,22498.69086,1.89466571,4.774924,7.02514195
Portugal,PRT,2011,9.2,68.42896,-0.147084879,10569000,23186.91313,1.895079315,4.7539,7.024033898
Portugal,PRT,2012,8.5,68.51029,-0.405421788,10526000,20564.88986,1.894940575,4.718802,7.022263366
Portugal,PRT,2013,7.9,66.13674,-0.548815211,10473000,21647.04181,1.897938718,4.675021,7.020071104
Portugal,PRT,2014,7.9,65.50357,-0.539190467,10418000,22074.30076,1.899789473,4.622827,7.017784353
Portugal,PRT,2015,8.3,61.75633,-0.414141102,10368000,19242.36647,1.904489226,4.561403,7.015694989
Portugal,PRT,2016,8.4,63.25565,-0.315459017,10326000,19978.40121,1.908795581,4.494714,7.013932121
