country,year,Birth_rate,Educ_Tert,Pop_Growth,Population,GDP,Drug_Alc,Depression
Armenia,2005,14.244,39.54677,-0.5719569,3000720,1643.753029,2.298558214,2.692555
Armenia,2006,14.572,43.11535,-0.5719569,2981269,2158.143697,2.317373187,2.698772
Armenia,2007,14.855,45.93094,-0.5719569,2958307,3139.277499,2.336994044,2.703805
Armenia,2008,15.08,48.48933,-0.5719569,2932618,4010.857243,2.35667831,2.707865
Armenia,2009,15.233,51.33459,-0.5719569,2907618,2994.342544,2.368014374,2.71182
Armenia,2010,15.304,52.98915,-0.5719569,2888092,3218.372707,2.374401891,2.714179
Armenia,2011,15.297,53.33778,-0.5719569,2877319,3525.804747,2.379914784,2.718093
Armenia,2012,15.232,46.15803,-0.5719569,2876538,3681.857456,2.375758445,2.72184
Armenia,2013,15.125,45.73739,-0.5719569,2884229,3838.185801,2.365502574,2.726631
Armenia,2014,14.979,47.08219,-0.5719569,2897584,3986.231624,2.356576946,2.734193
Armenia,2015,14.795,46.5218,-0.5719569,2912403,3607.296697,2.356430688,2.740289
Armenia,2016,14.568,51.08019,-0.5719569,2925553,3591.829276,2.365449116,2.747315
Bangladesh,2005,24.053,6.4467,1.34713026,136986432,499.4619402,1.913115345,4.229019
Bangladesh,2006,23.384,7.3612,1.22661778,139035505,509.6401429,1.920102984,4.227853
Bangladesh,2007,22.747,7.93297,1.14565302,140921167,558.0518603,1.925383715,4.226988
Bangladesh,2008,22.153,8.88409,1.11680573,142660376,634.9870565,1.932357375,4.224998
Bangladesh,2009,21.605,10.85809,1.12480349,144304167,702.26441,1.939798578,4.223743
Bangladesh,2010,21.107,12.27483,1.14426213,145924797,781.1535936,1.945094885,4.22464
Bangladesh,2011,20.657,13.69156,1.15494813,147575430,861.7584443,1.959796836,4.221367
Bangladesh,2012,20.245,13.801,1.15671345,149273778,883.1050005,1.972047768,4.213672
Bangladesh,2013,19.862,13.83304,1.14259466,151007807,981.8398792,1.986320365,4.199103
Bangladesh,2014,19.501,13.86508,1.11728356,152764676,1118.853663,2.00240545,4.182413
Bangladesh,2015,19.156,15.86972,1.09130048,154520167,1248.453398,2.016275689,4.160873
Bangladesh,2016,18.824,17.87436,1.07024402,156256276,1401.620628,2.031842132,4.136923
Brasil,2005,17.243,25.98963,1.145881,1.145880998,4790.437088,3.591807926,4.090664
Brasil,2006,16.747,28.38816,1.09019685,1.090196854,5886.463588,3.594250555,4.027395
Brasil,2007,16.306,30.78669,1.03786204,1.037862037,7348.030794,3.598107803,3.895578
Brasil,2008,15.921,35.5621,0.99431162,0.994311624,8831.023117,3.603116069,3.73573
Brasil,2009,15.595,37.0384,0.96194826,0.961948263,8597.915352,3.609780308,3.588454
Brasil,2010,15.327,40.24912,0.93795674,0.937956738,11286.24302,3.619982103,3.497159
Brasil,2011,15.11,43.45983,0.91596266,0.915962656,13245.6125,3.636042343,3.449547
Brasil,2012,14.93,44.96641,0.89353106,0.893531058,12370.0242,3.652532309,3.408068
Brasil,2013,14.772,46.81655,0.87360319,0.873603191,12300.32258,3.670119716,3.371926
Brasil,2014,14.624,49.91353,0.85579202,0.855792023,12112.5903,3.689669496,3.342011
Brasil,2015,14.472,51.05413,0.83884828,0.838848283,8814.000987,3.709754325,3.319423
Brasil,2016,14.307,50.48851,0.82374823,0.823748232,8712.887044,3.730609555,3.304643
Portugal,2005,10.4,55.43176,1.619245662,0.185532267,18773.12536,1.995625998,4.808875
Portugal,2006,10,55.39792,1.619245662,0.180332441,19822.84603,1.974276255,4.80553
Portugal,2007,9.7,57.79474,1.619245662,0.196304384,22782.09462,1.95342598,4.803936
Portugal,2008,9.9,61.6109,1.619245662,0.14419128,24847.54514,1.931700523,4.795229
Portugal,2009,9.4,62.64161,1.619245662,0.095330859,23059.79745,1.911146918,4.786921
Portugal,2010,9.6,65.60205,1.619245662,0.045910037,22498.69086,1.89466571,4.774924
Portugal,2011,9.2,68.42896,1.619245662,-0.147084879,23186.91313,1.895079315,4.7539
Portugal,2012,8.5,68.51029,1.619245662,-0.405421788,20564.88986,1.894940575,4.718802
Portugal,2013,7.9,66.13674,1.619245662,-0.548815211,21647.04181,1.897938718,4.675021
Portugal,2014,7.9,65.50357,1.619245662,-0.539190467,22074.30076,1.899789473,4.622827
Portugal,2015,8.3,61.75633,1.619245662,-0.414141102,19242.36647,1.904489226,4.561403
Portugal,2016,8.4,63.25565,1.619245662,-0.315459017,19978.40121,1.908795581,4.494714
